#WAGON_DATA
wagonName,TIF
wagonMeshIndex,0
primaryMaterial,Prune
secondaryMaterial,OrangeSanguine
stationId,7
stationSplineId,0

#PATH_DATA
time,posX,posY,posZ,rotX,rotY,rotZ,rotW
0.01999999,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.03999998,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.05999998,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.07999997,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.09999996,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.12,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.14,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.16,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.1799999,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.1999999,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.2199999,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.2399999,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.2599999,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.2799999,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.2999999,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.3199999,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.3399999,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.3599998,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.3799998,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.3999998,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.4199998,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.4399998,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.4599997,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.4799997,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.4999997,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.5199997,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.5399997,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.5599996,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.5799996,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.5999996,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.6199996,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.6399996,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.6599995,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.6799995,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.6999995,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.7199995,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.7399995,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.7599995,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.7799994,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.7999994,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
0.8199994,-52.76568,4.615118,-114.8526,0.01880702,0.5566036,-0.01116896,0.8304902
